, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",40,19,21,0,0
"""8 to 14 days""",7,0,7,0,0
"""15 to 21 days""",8,2,6,0,0
"""22 to 30 days""",6,2,4,0,0
"""31 to 60 days""",11,9,2,0,0
"""61 to 180 days""",43,16,27,0,0
"""181 to 365 days""",24,13,11,0,0
"""366-730 days (1-2 years)""",26,20,6,0,0
"""731 days or more""",45,34,11,0,0
"""Total (persons moved into housing)""",210,115,95,0,0
"""Not yet moved into housing""",17,7,10,0,0
"""Data not collected""",13,6,7,0,0
"""Total persons""",240,128,112,0,0
