, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",2,5,7,0.29,2,12,14,0.14,0,0,0,0.0
"""Supplemental Security Income (SSI)""",1,0,1,1.0,1,1,2,0.5,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",3,0,3,1.0,0,1,1,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,0,3,3,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,0,1,1,0.0,0,0,0,0.0
"""Other source""",0,1,1,0.0,0,1,1,0.0,0,0,0,0.0
"""No Sources""",4,3,7,0.57,0,4,4,0.0,0,0,0,0.0
"""Unduplicated Total Adults""",10,8,18,,3,21,24,,0,0,0,
