"""Total Number of Persons Served""",558
"""Number of Adults (age 18 or over)""",363
"""Number of Children (under age 18)""",194
"""Number of Persons with Unknown Age""",1
"""Number of Leavers""",86
"""Number of Adult Leavers""",48
"""Number of Adult and Head of Household Leavers""",48
"""Number of Stayers""",472
"""Number of Adult Stayers""",315
"""Number of Veterans""",23
"""Number of Chronically Homeless Persons""",80
"""Number of Youth Under Age 25""",22
"""Number of Parenting Youth Under Age 25 with Children""",7
"""Number of Adult Heads of Household""",293
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",102
