"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",85,4,17
"""Adults with Only Other Income""",103,32,11
"""Adults with Both Earned and Other Income""",14,2,3
"""Adults with No Income""",153,12,17
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",8,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,213,0
"""Number of Adult Stayers without Required Annual Assessment""",0,52,0
"""Total Adults""",363,315,48
"""1 or More Source of Income""",217,42,34
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,50,0
