, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",120,8,11
"""$1 -  $150""",2,0,0
"""$151 - $250""",7,0,0
"""$251 - $500""",19,1,3
"""$501 - $1000""",58,14,6
"""$1001 - $1500""",52,13,7
"""$1501 - $2000""",34,5,8
"""$2001+""",30,5,7
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",41,4,6
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,213,0
"""Number of Adult Stayers without Required Annual Assessment""",0,52,0
"""Total Adults""",363,315,48
