, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",93,64,29,0,0
"""8 to 14 days""",10,10,0,0,0
"""15 to 21 days""",11,11,0,0,0
"""22 to 30 days""",5,3,2,0,0
"""31 to 60 days""",27,19,8,0,0
"""61 to 180 days""",58,32,26,0,0
"""181 to 365 days""",36,21,15,0,0
"""366-730 days (1-2 years)""",36,35,1,0,0
"""731 days or more""",56,45,11,0,0
"""Total (persons moved into housing)""",332,240,92,0,0
"""Not yet moved into housing""",28,16,12,0,0
"""Data not collected""",18,13,5,0,0
"""Total persons""",378,269,109,0,0
