, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",141,117,24,0,0
"""Transitional housing for homeless persons (including homeless youth)""",1,1,0,0,0
"""Place not meant for human habitation""",193,181,12,0,0
"""Safe Haven""",1,0,1,0,0
"""Host Home""",1,1,0,0,0
"""Subtotal""",337,300,37,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",8,8,0,0,0
"""Substance abuse treatment facility or detox center""",7,6,1,0,0
"""Hospital or other residential non-psychiatric medical facility""",25,25,0,0,0
"""Jail, prison or juvenile detention facility""",25,25,0,0,0
"""Foster care home or foster care group home""",1,1,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",2,2,0,0,0
"""Subtotal""",68,67,1,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Owned by client, no ongoing housing subsidy""",6,6,0,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",168,121,44,0,3
"""Rental by client, with VASH housing subsidy""",2,2,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",1,0,1,0,0
"""Rental by client, with other housing subsidy (including RRH)""",9,8,1,0,0
"""Hotel or motel paid for without emergency shelter voucher""",90,73,16,0,1
"""Staying or living in a friend''s room, apartment or house""",80,67,13,0,0
"""Staying or living in a family member''s room, apartment or house""",109,75,34,0,0
"""Client Doesn''t Know/Client Refused""",4,4,0,0,0
"""Data not collected""",22,16,6,0,0
"""Subtotal""",491,372,115,0,4
"""Total""",896,739,153,0,4
