, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",180,7,27
"""Unemployment Insurance""",5,0,1
"""Supplemental Security Income (SSI)""",125,22,28
"""Social Security Disability Insurance (SSDI)""",81,15,13
"""VA Service - Connected Disability Compensation""",5,3,0
"""VA Non-Service Connected Disability Pension""",3,4,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",1,0,0
"""Temporary Assistance for Needy Families (TANF)""",14,1,4
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",20,2,6
"""Pension or retirement income from a former job""",5,1,1
"""Child Support""",10,0,1
"""Alimony and other spousal support""",0,0,0
"""Other Source""",8,1,3
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,60,0
