, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",83,63,20,0,0
"""Transitional housing for homeless persons (including homeless youth)""",1,1,0,0,0
"""Place not meant for human habitation""",38,34,4,0,0
"""Safe Haven""",0,0,0,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",122,98,24,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",2,2,0,0,0
"""Substance abuse treatment facility or detox center""",1,1,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",4,4,0,0,0
"""Jail, prison or juvenile detention facility""",7,7,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Subtotal""",15,15,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",1,1,0,0,0
"""Owned by client, no ongoing housing subsidy""",15,7,8,0,0
"""Owned by client, with ongoing housing subsidy""",1,1,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",122,89,33,0,0
"""Rental by client, with VASH housing subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",2,2,0,0,0
"""Hotel or motel paid for without emergency shelter voucher""",14,9,5,0,0
"""Staying or living in a friend''s room, apartment or house""",23,16,7,0,0
"""Staying or living in a family member''s room, apartment or house""",44,25,18,1,0
"""Client Doesn''t Know/Client Refused""",0,0,0,0,0
"""Data not collected""",12,10,1,0,1
"""Subtotal""",234,160,72,1,1
"""Total""",371,273,96,1,1
