"""Total Number of Persons Served""",503
"""Number of Adults (age 18 or over)""",370
"""Number of Children (under age 18)""",131
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",67
"""Number of Adult Leavers""",49
"""Number of Adult and Head of Household Leavers""",49
"""Number of Stayers""",436
"""Number of Adult Stayers""",321
"""Number of Veterans""",20
"""Number of Chronically Homeless Persons""",48
"""Number of Youth Under Age 25""",14
"""Number of Parenting Youth Under Age 25 with Children""",3
"""Number of Adult Heads of Household""",307
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",133
