count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2022-07-01,2022-07-31,Q20b,benefit_at_entry,777
No Sources,all_persons,2022-07-01,2022-07-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,23
No Sources,all_persons,2022-07-01,2022-07-31,Q20b,benefit_at_exit_for_leavers,78
1 + Source(s),all_persons,2022-07-01,2022-07-31,Q20b,benefit_at_entry,452
1 + Source(s),all_persons,2022-07-01,2022-07-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,29
1 + Source(s),all_persons,2022-07-01,2022-07-31,Q20b,benefit_at_exit_for_leavers,41
Client Doesn't Know/Client Refused,all_persons,2022-07-01,2022-07-31,Q20b,benefit_at_entry,8
Client Doesn't Know/Client Refused,all_persons,2022-07-01,2022-07-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2022-07-01,2022-07-31,Q20b,benefit_at_exit_for_leavers,0
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2022-07-01,2022-07-31,Q20b,benefit_at_entry,205
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2022-07-01,2022-07-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,1231
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2022-07-01,2022-07-31,Q20b,benefit_at_exit_for_leavers,40
