conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,304,26,2,all_persons,2022-07-01,2022-07-31,Q13c1,without_children,274
Mental Health Disorder,304,26,2,all_persons,2022-07-01,2022-07-31,Q13c1,with_only_children,0
Mental Health Disorder,304,26,2,all_persons,2022-07-01,2022-07-31,Q13c1,unknown_household_type,2
Alcohol Use Disorder,57,0,0,all_persons,2022-07-01,2022-07-31,Q13c1,without_children,56
Alcohol Use Disorder,57,0,0,all_persons,2022-07-01,2022-07-31,Q13c1,with_only_children,0
Alcohol Use Disorder,57,0,0,all_persons,2022-07-01,2022-07-31,Q13c1,unknown_household_type,1
Drug Use Disorder,52,4,0,all_persons,2022-07-01,2022-07-31,Q13c1,without_children,48
Drug Use Disorder,52,4,0,all_persons,2022-07-01,2022-07-31,Q13c1,with_only_children,0
Drug Use Disorder,52,4,0,all_persons,2022-07-01,2022-07-31,Q13c1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,58,0,0,all_persons,2022-07-01,2022-07-31,Q13c1,without_children,58
Both Alcohol and Drug Use Disorders,58,0,0,all_persons,2022-07-01,2022-07-31,Q13c1,with_only_children,0
Both Alcohol and Drug Use Disorders,58,0,0,all_persons,2022-07-01,2022-07-31,Q13c1,unknown_household_type,0
Chronic Health Condition,162,8,1,all_persons,2022-07-01,2022-07-31,Q13c1,without_children,153
Chronic Health Condition,162,8,1,all_persons,2022-07-01,2022-07-31,Q13c1,with_only_children,0
Chronic Health Condition,162,8,1,all_persons,2022-07-01,2022-07-31,Q13c1,unknown_household_type,0
HIV/AIDS,104,7,0,all_persons,2022-07-01,2022-07-31,Q13c1,without_children,97
HIV/AIDS,104,7,0,all_persons,2022-07-01,2022-07-31,Q13c1,with_only_children,0
HIV/AIDS,104,7,0,all_persons,2022-07-01,2022-07-31,Q13c1,unknown_household_type,0
Development Disability,66,3,15,all_persons,2022-07-01,2022-07-31,Q13c1,without_children,47
Development Disability,66,3,15,all_persons,2022-07-01,2022-07-31,Q13c1,with_only_children,0
Development Disability,66,3,15,all_persons,2022-07-01,2022-07-31,Q13c1,unknown_household_type,1
Physical Disability,190,10,0,all_persons,2022-07-01,2022-07-31,Q13c1,without_children,180
Physical Disability,190,10,0,all_persons,2022-07-01,2022-07-31,Q13c1,with_only_children,0
Physical Disability,190,10,0,all_persons,2022-07-01,2022-07-31,Q13c1,unknown_household_type,0
