dv_fleeing,total,population,start_date,end_date,question,household_type,count
Yes,68,all_persons,2022-07-01,2022-07-31,Q14b,without_children,52
Yes,68,all_persons,2022-07-01,2022-07-31,Q14b,with_children_and_adults,16
Yes,68,all_persons,2022-07-01,2022-07-31,Q14b,with_only_children,0
Yes,68,all_persons,2022-07-01,2022-07-31,Q14b,unknown_household_type,0
No,238,all_persons,2022-07-01,2022-07-31,Q14b,without_children,190
No,238,all_persons,2022-07-01,2022-07-31,Q14b,with_children_and_adults,48
No,238,all_persons,2022-07-01,2022-07-31,Q14b,with_only_children,0
No,238,all_persons,2022-07-01,2022-07-31,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_persons,2022-07-01,2022-07-31,Q14b,without_children,2
Client Doesn't Know/Client Refused,2,all_persons,2022-07-01,2022-07-31,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_persons,2022-07-01,2022-07-31,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,2,all_persons,2022-07-01,2022-07-31,Q14b,unknown_household_type,0
Data Not Collected,14,all_persons,2022-07-01,2022-07-31,Q14b,without_children,12
Data Not Collected,14,all_persons,2022-07-01,2022-07-31,Q14b,with_children_and_adults,2
Data Not Collected,14,all_persons,2022-07-01,2022-07-31,Q14b,with_only_children,0
Data Not Collected,14,all_persons,2022-07-01,2022-07-31,Q14b,unknown_household_type,0
