age_group,total,population,start_date,end_date,question,household_type,count
12 - 17,20,youth,2022-07-01,2022-07-31,Q27a,without_children,0
12 - 17,20,youth,2022-07-01,2022-07-31,Q27a,with_children_and_adults,2
12 - 17,20,youth,2022-07-01,2022-07-31,Q27a,with_only_children,18
12 - 17,20,youth,2022-07-01,2022-07-31,Q27a,unknown_household_type,0
18 - 24,88,youth,2022-07-01,2022-07-31,Q27a,without_children,61
18 - 24,88,youth,2022-07-01,2022-07-31,Q27a,with_children_and_adults,26
18 - 24,88,youth,2022-07-01,2022-07-31,Q27a,with_only_children,0
18 - 24,88,youth,2022-07-01,2022-07-31,Q27a,unknown_household_type,1
Client Doesn't Know/Client Refused,0,youth,2022-07-01,2022-07-31,Q27a,without_children,0
Client Doesn't Know/Client Refused,0,youth,2022-07-01,2022-07-31,Q27a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,youth,2022-07-01,2022-07-31,Q27a,with_only_children,0
Client Doesn't Know/Client Refused,0,youth,2022-07-01,2022-07-31,Q27a,unknown_household_type,0
Data Not Collected,0,youth,2022-07-01,2022-07-31,Q27a,without_children,0
Data Not Collected,0,youth,2022-07-01,2022-07-31,Q27a,with_children_and_adults,0
Data Not Collected,0,youth,2022-07-01,2022-07-31,Q27a,with_only_children,0
Data Not Collected,0,youth,2022-07-01,2022-07-31,Q27a,unknown_household_type,0
