length_participation,total,population,start_date,end_date,question,status,count
30 days or less,20,youth,2022-07-01,2022-07-31,Q27e,leavers,14
30 days or less,20,youth,2022-07-01,2022-07-31,Q27e,stayers,6
31 to 60 days,6,youth,2022-07-01,2022-07-31,Q27e,leavers,0
31 to 60 days,6,youth,2022-07-01,2022-07-31,Q27e,stayers,6
61 to 90 days,5,youth,2022-07-01,2022-07-31,Q27e,leavers,0
61 to 90 days,5,youth,2022-07-01,2022-07-31,Q27e,stayers,5
91 to 180 days,21,youth,2022-07-01,2022-07-31,Q27e,leavers,0
91 to 180 days,21,youth,2022-07-01,2022-07-31,Q27e,stayers,21
181 to 365 days,28,youth,2022-07-01,2022-07-31,Q27e,leavers,2
181 to 365 days,28,youth,2022-07-01,2022-07-31,Q27e,stayers,26
366 to 730 Days (1-2 Yrs),6,youth,2022-07-01,2022-07-31,Q27e,leavers,0
366 to 730 Days (1-2 Yrs),6,youth,2022-07-01,2022-07-31,Q27e,stayers,6
"731 to 1,095 Days (2-3 Yrs)",4,youth,2022-07-01,2022-07-31,Q27e,leavers,0
"731 to 1,095 Days (2-3 Yrs)",4,youth,2022-07-01,2022-07-31,Q27e,stayers,4
"1,096 to 1,460 Days (3-4 Yrs)",6,youth,2022-07-01,2022-07-31,Q27e,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",6,youth,2022-07-01,2022-07-31,Q27e,stayers,6
"1,461 to 1,825 Days (5-5 Yrs)",6,youth,2022-07-01,2022-07-31,Q27e,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",6,youth,2022-07-01,2022-07-31,Q27e,stayers,6
"More than 1,825 Days (>5 Yrs)",6,youth,2022-07-01,2022-07-31,Q27e,leavers,0
"More than 1,825 Days (>5 Yrs)",6,youth,2022-07-01,2022-07-31,Q27e,stayers,6
Data Not Collected,0,youth,2022-07-01,2022-07-31,Q27e,leavers,0
Data Not Collected,0,youth,2022-07-01,2022-07-31,Q27e,stayers,0
