, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",85,59,26,0,0
"""8 to 14 days""",15,13,2,0,0
"""15 to 21 days""",12,12,0,0,0
"""22 to 30 days""",8,6,2,0,0
"""31 to 60 days""",19,14,5,0,0
"""61 to 180 days""",61,45,16,0,0
"""181 to 365 days""",33,25,8,0,0
"""366-730 days (1-2 years)""",33,33,0,0,0
"""731 days or more""",66,51,15,0,0
"""Total (persons moved into housing)""",332,258,74,0,0
"""Not yet moved into housing""",28,21,7,0,0
"""Data not collected""",18,16,2,0,0
"""Total persons""",378,295,83,0,0
