, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",193,6,24
"""Unemployment Insurance""",3,0,1
"""Supplemental Security Income (SSI)""",118,22,15
"""Social Security Disability Insurance (SSDI)""",84,13,8
"""VA Service - Connected Disability Compensation""",3,2,0
"""VA Non-Service Connected Disability Pension""",3,4,0
"""Private Disability Insurance""",1,0,1
"""Worker's Compensation""",1,0,1
"""Temporary Assistance for Needy Families (TANF)""",14,1,1
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",21,3,6
"""Pension or retirement income from a former job""",6,1,0
"""Child Support""",7,0,0
"""Alimony and other spousal support""",0,0,0
"""Other Source""",8,1,2
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,58,0
