, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",126,110,16,0,0
"""Transitional housing for homeless persons (including homeless youth)""",3,3,0,0,0
"""Place not meant for human habitation""",222,204,18,0,0
"""Safe Haven""",5,4,1,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",356,321,35,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",9,9,0,0,0
"""Substance abuse treatment facility or detox center""",8,8,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",21,21,0,0,0
"""Jail, prison or juvenile detention facility""",23,23,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",2,2,0,0,0
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Subtotal""",64,64,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",3,3,0,0,0
"""Owned by client, no ongoing housing subsidy""",6,6,0,0,0
"""Owned by client, with ongoing housing subsidy""",2,1,1,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",1,1,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",185,133,50,0,2
"""Rental by client, with VASH housing subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",1,0,1,0,0
"""Rental by client, with other housing subsidy (including RRH)""",10,8,2,0,0
"""Hotel or motel paid for without emergency shelter voucher""",99,73,25,0,1
"""Staying or living in a friend''s room, apartment or house""",72,60,12,0,0
"""Staying or living in a family member''s room, apartment or house""",96,59,37,0,0
"""Client Doesn''t Know/Client Refused""",5,5,0,0,0
"""Data not collected""",22,17,5,0,0
"""Subtotal""",502,366,133,0,3
"""Total""",922,751,168,0,3
