"""Total Number of Persons Served""",1189
"""Number of Adults (age 18 or over)""",922
"""Number of Children (under age 18)""",257
"""Number of Persons with Unknown Age""",10
"""Number of Leavers""",192
"""Number of Adult Leavers""",144
"""Number of Adult and Head of Household Leavers""",144
"""Number of Stayers""",997
"""Number of Adult Stayers""",778
"""Number of Veterans""",55
"""Number of Chronically Homeless Persons""",173
"""Number of Youth Under Age 25""",58
"""Number of Parenting Youth Under Age 25 with Children""",8
"""Number of Adult Heads of Household""",753
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",377
