"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",164,6,18
"""Adults with Only Other Income""",192,39,23
"""Adults with Both Earned and Other Income""",26,0,6
"""Adults with No Income""",512,13,95
"""Adults with Client Doesn't Know/Client Refused Income Information""",1,0,0
"""Adults with Missing Income Information""",23,0,2
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,401,0
"""Number of Adult Stayers without Required Annual Assessment""",0,319,0
"""Total Adults""",922,778,144
"""1 or More Source of Income""",434,46,54
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,58,0
