number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_start,154
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_annual_assessment_stayers,9
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_exit_leavers,53
Adults with Only Other Income,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_start,144
Adults with Only Other Income,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_annual_assessment_stayers,37
Adults with Only Other Income,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_exit_leavers,39
Adults with Both Earned and Other Income,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_start,39
Adults with Both Earned and Other Income,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_annual_assessment_stayers,3
Adults with Both Earned and Other Income,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_exit_leavers,15
Adults with No Income,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_start,362
Adults with No Income,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_annual_assessment_stayers,15
Adults with No Income,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_exit_leavers,161
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_start,6
Adults with Missing Income Information,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_exit_leavers,1
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_annual_assessment_stayers,307
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_annual_assessment_stayers,69
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_start,709
Total Adults,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_annual_assessment_stayers,440
Total Adults,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_exit_leavers,269
1 or More Source of Income,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_start,360
1 or More Source of Income,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_annual_assessment_stayers,52
1 or More Source of Income,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_exit_leavers,116
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_annual_assessment_stayers,64
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-06-01,2019-06-30,Q18,number_of_adults_at_exit_leavers,0
