income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,11,37,48,0.23,2,14,16,0.13,0,0,0,0.0,adults,2019-06-01,2019-06-30,Q19b
Supplemental Security Income (SSI),14,2,16,0.88,0,1,1,0.0,0,0,0,0.0,adults,2019-06-01,2019-06-30,Q19b
Social Security Disability Insurance (SSDI),15,0,15,1.0,1,3,4,0.25,0,0,0,0.0,adults,2019-06-01,2019-06-30,Q19b
VA Service-Connected Disability Compensation,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2019-06-01,2019-06-30,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2019-06-01,2019-06-30,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2019-06-01,2019-06-30,Q19b
Temporary Assistance for Needy Families (TANF),0,2,2,0.0,2,5,7,0.29,0,0,0,0.0,adults,2019-06-01,2019-06-30,Q19b
Retirement Income from Social Security,1,1,2,0.5,0,0,0,0.0,0,0,0,0.0,adults,2019-06-01,2019-06-30,Q19b
Pension or retirement income from a former job,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2019-06-01,2019-06-30,Q19b
Child Support,3,3,6,0.5,0,5,5,0.0,0,0,0,0.0,adults,2019-06-01,2019-06-30,Q19b
Other source,4,2,6,0.67,0,0,0,0.0,0,0,0,0.0,adults,2019-06-01,2019-06-30,Q19b
No Sources,11,34,45,0.24,1,3,4,0.25,0,0,0,0.0,adults,2019-06-01,2019-06-30,Q19b
Unduplicated Total Adults,50,76,126,NA,4,20,24,NA,0,0,0,NA,adults,2019-06-01,2019-06-30,Q19b
