dv_fleeing,total,population,start_date,end_date,question,household_type,count
Yes,41,all_persons,2019-06-01,2019-06-30,Q14b,without_children,28
Yes,41,all_persons,2019-06-01,2019-06-30,Q14b,with_children_and_adults,13
Yes,41,all_persons,2019-06-01,2019-06-30,Q14b,with_only_children,0
Yes,41,all_persons,2019-06-01,2019-06-30,Q14b,unknown_household_type,0
No,160,all_persons,2019-06-01,2019-06-30,Q14b,without_children,128
No,160,all_persons,2019-06-01,2019-06-30,Q14b,with_children_and_adults,32
No,160,all_persons,2019-06-01,2019-06-30,Q14b,with_only_children,0
No,160,all_persons,2019-06-01,2019-06-30,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2019-06-01,2019-06-30,Q14b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2019-06-01,2019-06-30,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2019-06-01,2019-06-30,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2019-06-01,2019-06-30,Q14b,unknown_household_type,0
Data Not Collected,6,all_persons,2019-06-01,2019-06-30,Q14b,without_children,5
Data Not Collected,6,all_persons,2019-06-01,2019-06-30,Q14b,with_children_and_adults,1
Data Not Collected,6,all_persons,2019-06-01,2019-06-30,Q14b,with_only_children,0
Data Not Collected,6,all_persons,2019-06-01,2019-06-30,Q14b,unknown_household_type,0
