conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,140,22,1,all_persons,2019-06-01,2019-06-30,Q13c1,without_children,117
Mental Health Disorder,140,22,1,all_persons,2019-06-01,2019-06-30,Q13c1,with_only_children,0
Mental Health Disorder,140,22,1,all_persons,2019-06-01,2019-06-30,Q13c1,unknown_household_type,0
Alcohol Use Disorder,32,0,0,all_persons,2019-06-01,2019-06-30,Q13c1,without_children,32
Alcohol Use Disorder,32,0,0,all_persons,2019-06-01,2019-06-30,Q13c1,with_only_children,0
Alcohol Use Disorder,32,0,0,all_persons,2019-06-01,2019-06-30,Q13c1,unknown_household_type,0
Drug Use Disorder,17,2,0,all_persons,2019-06-01,2019-06-30,Q13c1,without_children,15
Drug Use Disorder,17,2,0,all_persons,2019-06-01,2019-06-30,Q13c1,with_only_children,0
Drug Use Disorder,17,2,0,all_persons,2019-06-01,2019-06-30,Q13c1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,23,0,0,all_persons,2019-06-01,2019-06-30,Q13c1,without_children,23
Both Alcohol and Drug Use Disorders,23,0,0,all_persons,2019-06-01,2019-06-30,Q13c1,with_only_children,0
Both Alcohol and Drug Use Disorders,23,0,0,all_persons,2019-06-01,2019-06-30,Q13c1,unknown_household_type,0
Chronic Health Condition,67,8,3,all_persons,2019-06-01,2019-06-30,Q13c1,without_children,56
Chronic Health Condition,67,8,3,all_persons,2019-06-01,2019-06-30,Q13c1,with_only_children,0
Chronic Health Condition,67,8,3,all_persons,2019-06-01,2019-06-30,Q13c1,unknown_household_type,0
HIV/AIDS,77,4,0,all_persons,2019-06-01,2019-06-30,Q13c1,without_children,73
HIV/AIDS,77,4,0,all_persons,2019-06-01,2019-06-30,Q13c1,with_only_children,0
HIV/AIDS,77,4,0,all_persons,2019-06-01,2019-06-30,Q13c1,unknown_household_type,0
Development Disability,32,3,5,all_persons,2019-06-01,2019-06-30,Q13c1,without_children,24
Development Disability,32,3,5,all_persons,2019-06-01,2019-06-30,Q13c1,with_only_children,0
Development Disability,32,3,5,all_persons,2019-06-01,2019-06-30,Q13c1,unknown_household_type,0
Physical Disability,74,6,1,all_persons,2019-06-01,2019-06-30,Q13c1,without_children,67
Physical Disability,74,6,1,all_persons,2019-06-01,2019-06-30,Q13c1,with_only_children,0
Physical Disability,74,6,1,all_persons,2019-06-01,2019-06-30,Q13c1,unknown_household_type,0
