race,total,population,start_date,end_date,question,household_type,count
White,662,all_persons,2019-06-01,2019-06-30,Q12a,without_children,432
White,662,all_persons,2019-06-01,2019-06-30,Q12a,with_children_and_adults,223
White,662,all_persons,2019-06-01,2019-06-30,Q12a,with_only_children,7
White,662,all_persons,2019-06-01,2019-06-30,Q12a,unknown_household_type,0
"Black, African American, or African",181,all_persons,2019-06-01,2019-06-30,Q12a,without_children,101
"Black, African American, or African",181,all_persons,2019-06-01,2019-06-30,Q12a,with_children_and_adults,73
"Black, African American, or African",181,all_persons,2019-06-01,2019-06-30,Q12a,with_only_children,7
"Black, African American, or African",181,all_persons,2019-06-01,2019-06-30,Q12a,unknown_household_type,0
Asian or Asian American,5,all_persons,2019-06-01,2019-06-30,Q12a,without_children,2
Asian or Asian American,5,all_persons,2019-06-01,2019-06-30,Q12a,with_children_and_adults,0
Asian or Asian American,5,all_persons,2019-06-01,2019-06-30,Q12a,with_only_children,0
Asian or Asian American,5,all_persons,2019-06-01,2019-06-30,Q12a,unknown_household_type,3
"American Indian, Alaska Native, or Indigenous",6,all_persons,2019-06-01,2019-06-30,Q12a,without_children,6
"American Indian, Alaska Native, or Indigenous",6,all_persons,2019-06-01,2019-06-30,Q12a,with_children_and_adults,0
"American Indian, Alaska Native, or Indigenous",6,all_persons,2019-06-01,2019-06-30,Q12a,with_only_children,0
"American Indian, Alaska Native, or Indigenous",6,all_persons,2019-06-01,2019-06-30,Q12a,unknown_household_type,0
Native Hawaiian or Pacific Islander,1,all_persons,2019-06-01,2019-06-30,Q12a,without_children,1
Native Hawaiian or Pacific Islander,1,all_persons,2019-06-01,2019-06-30,Q12a,with_children_and_adults,0
Native Hawaiian or Pacific Islander,1,all_persons,2019-06-01,2019-06-30,Q12a,with_only_children,0
Native Hawaiian or Pacific Islander,1,all_persons,2019-06-01,2019-06-30,Q12a,unknown_household_type,0
Multiple Races,67,all_persons,2019-06-01,2019-06-30,Q12a,without_children,24
Multiple Races,67,all_persons,2019-06-01,2019-06-30,Q12a,with_children_and_adults,43
Multiple Races,67,all_persons,2019-06-01,2019-06-30,Q12a,with_only_children,0
Multiple Races,67,all_persons,2019-06-01,2019-06-30,Q12a,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_persons,2019-06-01,2019-06-30,Q12a,without_children,2
Client Doesn't Know/Client Refused,2,all_persons,2019-06-01,2019-06-30,Q12a,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_persons,2019-06-01,2019-06-30,Q12a,with_only_children,0
Client Doesn't Know/Client Refused,2,all_persons,2019-06-01,2019-06-30,Q12a,unknown_household_type,0
Data Not Collected,1,all_persons,2019-06-01,2019-06-30,Q12a,without_children,0
Data Not Collected,1,all_persons,2019-06-01,2019-06-30,Q12a,with_children_and_adults,0
Data Not Collected,1,all_persons,2019-06-01,2019-06-30,Q12a,with_only_children,0
Data Not Collected,1,all_persons,2019-06-01,2019-06-30,Q12a,unknown_household_type,1
