ethnicity,total,population,start_date,end_date,question,household_type,count
Non-Hispanic/Non-Latin(a)(o)(x),833,all_persons,2019-06-01,2019-06-30,Q12b,without_children,533
Non-Hispanic/Non-Latin(a)(o)(x),833,all_persons,2019-06-01,2019-06-30,Q12b,with_children_and_adults,283
Non-Hispanic/Non-Latin(a)(o)(x),833,all_persons,2019-06-01,2019-06-30,Q12b,with_only_children,14
Non-Hispanic/Non-Latin(a)(o)(x),833,all_persons,2019-06-01,2019-06-30,Q12b,unknown_household_type,3
Hispanic/Latin(a)(o)(x),89,all_persons,2019-06-01,2019-06-30,Q12b,without_children,35
Hispanic/Latin(a)(o)(x),89,all_persons,2019-06-01,2019-06-30,Q12b,with_children_and_adults,54
Hispanic/Latin(a)(o)(x),89,all_persons,2019-06-01,2019-06-30,Q12b,with_only_children,0
Hispanic/Latin(a)(o)(x),89,all_persons,2019-06-01,2019-06-30,Q12b,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2019-06-01,2019-06-30,Q12b,without_children,0
Client Doesn't Know/Client Refused,1,all_persons,2019-06-01,2019-06-30,Q12b,with_children_and_adults,1
Client Doesn't Know/Client Refused,1,all_persons,2019-06-01,2019-06-30,Q12b,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2019-06-01,2019-06-30,Q12b,unknown_household_type,0
Data Not Collected,2,all_persons,2019-06-01,2019-06-30,Q12b,without_children,0
Data Not Collected,2,all_persons,2019-06-01,2019-06-30,Q12b,with_children_and_adults,1
Data Not Collected,2,all_persons,2019-06-01,2019-06-30,Q12b,with_only_children,0
Data Not Collected,2,all_persons,2019-06-01,2019-06-30,Q12b,unknown_household_type,1
