ch_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,91,all_households,2019-06-01,2019-06-30,Q26a,without_children,88
Chronically Homeless ,91,all_households,2019-06-01,2019-06-30,Q26a,with_children_and_adults,3
Chronically Homeless ,91,all_households,2019-06-01,2019-06-30,Q26a,with_only_children,0
Chronically Homeless ,91,all_households,2019-06-01,2019-06-30,Q26a,unknown_household_type,0
Not Chronically Homeless,498,all_households,2019-06-01,2019-06-30,Q26a,without_children,404
Not Chronically Homeless,498,all_households,2019-06-01,2019-06-30,Q26a,with_children_and_adults,94
Not Chronically Homeless,498,all_households,2019-06-01,2019-06-30,Q26a,with_only_children,0
Not Chronically Homeless,498,all_households,2019-06-01,2019-06-30,Q26a,unknown_household_type,0
Client Doesn't Know/Client Refused,7,all_households,2019-06-01,2019-06-30,Q26a,without_children,7
Client Doesn't Know/Client Refused,7,all_households,2019-06-01,2019-06-30,Q26a,with_children_and_adults,0
Client Doesn't Know/Client Refused,7,all_households,2019-06-01,2019-06-30,Q26a,with_only_children,0
Client Doesn't Know/Client Refused,7,all_households,2019-06-01,2019-06-30,Q26a,unknown_household_type,0
Data Not Collected,13,all_households,2019-06-01,2019-06-30,Q26a,without_children,13
Data Not Collected,13,all_households,2019-06-01,2019-06-30,Q26a,with_children_and_adults,0
Data Not Collected,13,all_households,2019-06-01,2019-06-30,Q26a,with_only_children,0
Data Not Collected,13,all_households,2019-06-01,2019-06-30,Q26a,unknown_household_type,0
