veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,14,all_households,2019-05-01,2019-05-31,Q25b,without_children,14
Chronically Homeless Veteran,14,all_households,2019-05-01,2019-05-31,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,14,all_households,2019-05-01,2019-05-31,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,27,all_households,2019-05-01,2019-05-31,Q25b,without_children,24
Non-Chronically Homeless Veteran,27,all_households,2019-05-01,2019-05-31,Q25b,with_children_and_adults,3
Non-Chronically Homeless Veteran,27,all_households,2019-05-01,2019-05-31,Q25b,unknown_household_type,0
Not a Veteran,559,all_households,2019-05-01,2019-05-31,Q25b,without_children,469
Not a Veteran,559,all_households,2019-05-01,2019-05-31,Q25b,with_children_and_adults,89
Not a Veteran,559,all_households,2019-05-01,2019-05-31,Q25b,unknown_household_type,1
Client Doesn't Know/Client Refused,0,all_households,2019-05-01,2019-05-31,Q25b,without_children,0
Client Doesn't Know/Client Refused,0,all_households,2019-05-01,2019-05-31,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_households,2019-05-01,2019-05-31,Q25b,unknown_household_type,0
Data Not Collected,5,all_households,2019-05-01,2019-05-31,Q25b,without_children,5
Data Not Collected,5,all_households,2019-05-01,2019-05-31,Q25b,with_children_and_adults,0
Data Not Collected,5,all_households,2019-05-01,2019-05-31,Q25b,unknown_household_type,0
