veteran_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,14,all_persons,2019-05-01,2019-05-31,Q25a,without_children,14
Chronically Homeless Veteran,14,all_persons,2019-05-01,2019-05-31,Q25a,with_children_and_adults,0
Chronically Homeless Veteran,14,all_persons,2019-05-01,2019-05-31,Q25a,unknown_household_type,0
Non-Chronically Homeless Veteran,28,all_persons,2019-05-01,2019-05-31,Q25a,without_children,24
Non-Chronically Homeless Veteran,28,all_persons,2019-05-01,2019-05-31,Q25a,with_children_and_adults,4
Non-Chronically Homeless Veteran,28,all_persons,2019-05-01,2019-05-31,Q25a,unknown_household_type,0
Not a Veteran,663,all_persons,2019-05-01,2019-05-31,Q25a,without_children,527
Not a Veteran,663,all_persons,2019-05-01,2019-05-31,Q25a,with_children_and_adults,134
Not a Veteran,663,all_persons,2019-05-01,2019-05-31,Q25a,unknown_household_type,2
Client Doesn't Know/Client Refused,0,all_persons,2019-05-01,2019-05-31,Q25a,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2019-05-01,2019-05-31,Q25a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2019-05-01,2019-05-31,Q25a,unknown_household_type,0
Data Not Collected,7,all_persons,2019-05-01,2019-05-31,Q25a,without_children,6
Data Not Collected,7,all_persons,2019-05-01,2019-05-31,Q25a,with_children_and_adults,1
Data Not Collected,7,all_persons,2019-05-01,2019-05-31,Q25a,unknown_household_type,0
