number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_start,158
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_annual_assessment_stayers,9
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_exit_leavers,46
Adults with Only Other Income,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_start,149
Adults with Only Other Income,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_annual_assessment_stayers,36
Adults with Only Other Income,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_exit_leavers,42
Adults with Both Earned and Other Income,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_start,42
Adults with Both Earned and Other Income,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_annual_assessment_stayers,4
Adults with Both Earned and Other Income,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_exit_leavers,13
Adults with No Income,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_start,352
Adults with No Income,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_annual_assessment_stayers,13
Adults with No Income,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_exit_leavers,143
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_start,7
Adults with Missing Income Information,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_exit_leavers,1
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_annual_assessment_stayers,337
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_annual_assessment_stayers,68
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_start,712
Total Adults,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_annual_assessment_stayers,467
Total Adults,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_exit_leavers,245
1 or More Source of Income,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_start,368
1 or More Source of Income,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_annual_assessment_stayers,52
1 or More Source of Income,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_exit_leavers,106
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_annual_assessment_stayers,62
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-05-01,2019-05-31,Q18,number_of_adults_at_exit_leavers,0
