report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,938,all_persons,2019-05-01,2019-05-31,Q5a
Number of Adults (age 18 or over),712,all_persons,2019-05-01,2019-05-31,Q5a
Number of Children (under age 18),220,all_persons,2019-05-01,2019-05-31,Q5a
Number of Persons with Unknown Age,6,all_persons,2019-05-01,2019-05-31,Q5a
Number of Leavers,299,all_persons,2019-05-01,2019-05-31,Q5a
Number of Adult Leavers,245,all_persons,2019-05-01,2019-05-31,Q5a
Number of Adult and Head of Household Leavers,245,all_persons,2019-05-01,2019-05-31,Q5a
Number of Stayers,639,all_persons,2019-05-01,2019-05-31,Q5a
Number of Adult Stayers,467,all_persons,2019-05-01,2019-05-31,Q5a
Number of Veterans,42,all_persons,2019-05-01,2019-05-31,Q5a
Number of Chronically Homeless Persons,107,all_persons,2019-05-01,2019-05-31,Q5a
Number of Youth Under Age 25,54,all_persons,2019-05-01,2019-05-31,Q5a
Number of Parenting Youth Under Age 25 with Children,5,all_persons,2019-05-01,2019-05-31,Q5a
Number of Adult Heads of Household,607,all_persons,2019-05-01,2019-05-31,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2019-05-01,2019-05-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,130,all_persons,2019-05-01,2019-05-31,Q5a
