length,total,population,start_date,end_date,question,status,count
30 days or less,206,all_persons,2016-02-01,2016-02-29,Q22a1,leavers,107
30 days or less,206,all_persons,2016-02-01,2016-02-29,Q22a1,stayers,99
31 to 60 days,73,all_persons,2016-02-01,2016-02-29,Q22a1,leavers,19
31 to 60 days,73,all_persons,2016-02-01,2016-02-29,Q22a1,stayers,54
61 to 90 days,59,all_persons,2016-02-01,2016-02-29,Q22a1,leavers,15
61 to 90 days,59,all_persons,2016-02-01,2016-02-29,Q22a1,stayers,44
91 to 180 days,71,all_persons,2016-02-01,2016-02-29,Q22a1,leavers,34
91 to 180 days,71,all_persons,2016-02-01,2016-02-29,Q22a1,stayers,37
181 to 365 days,49,all_persons,2016-02-01,2016-02-29,Q22a1,leavers,1
181 to 365 days,49,all_persons,2016-02-01,2016-02-29,Q22a1,stayers,48
366 to 730 Days (1-2 Yrs),27,all_persons,2016-02-01,2016-02-29,Q22a1,leavers,1
366 to 730 Days (1-2 Yrs),27,all_persons,2016-02-01,2016-02-29,Q22a1,stayers,26
"731 to 1,095 Days (2-3 Yrs)",8,all_persons,2016-02-01,2016-02-29,Q22a1,leavers,0
"731 to 1,095 Days (2-3 Yrs)",8,all_persons,2016-02-01,2016-02-29,Q22a1,stayers,8
"1,096 to 1,460 Days (3-4 Yrs)",17,all_persons,2016-02-01,2016-02-29,Q22a1,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",17,all_persons,2016-02-01,2016-02-29,Q22a1,stayers,17
"1,461 to 1,825 Days (5-5 Yrs)",9,all_persons,2016-02-01,2016-02-29,Q22a1,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",9,all_persons,2016-02-01,2016-02-29,Q22a1,stayers,9
"More than 1,825 Days (>5 Yrs)",56,all_persons,2016-02-01,2016-02-29,Q22a1,leavers,2
"More than 1,825 Days (>5 Yrs)",56,all_persons,2016-02-01,2016-02-29,Q22a1,stayers,54
Data Not Collected,0,all_persons,2016-02-01,2016-02-29,Q22a1,leavers,0
Data Not Collected,0,all_persons,2016-02-01,2016-02-29,Q22a1,stayers,0
