number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_start,124
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_annual_assessment_stayers,3
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_exit_leavers,50
Adults with Only Other Income,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_start,93
Adults with Only Other Income,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_annual_assessment_stayers,21
Adults with Only Other Income,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_exit_leavers,19
Adults with Both Earned and Other Income,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_start,20
Adults with Both Earned and Other Income,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_exit_leavers,7
Adults with No Income,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_start,191
Adults with No Income,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_annual_assessment_stayers,8
Adults with No Income,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_exit_leavers,51
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_start,7
Adults with Missing Income Information,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_annual_assessment_stayers,204
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_annual_assessment_stayers,72
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_start,435
Total Adults,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_annual_assessment_stayers,308
Total Adults,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_exit_leavers,127
1 or More Source of Income,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_start,254
1 or More Source of Income,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_annual_assessment_stayers,25
1 or More Source of Income,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_exit_leavers,82
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_annual_assessment_stayers,32
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-02-01,2016-02-29,Q18,number_of_adults_at_exit_leavers,0
