report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,575,all_persons,2016-02-01,2016-02-29,Q5a
Number of Adults (age 18 or over),435,all_persons,2016-02-01,2016-02-29,Q5a
Number of Children (under age 18),139,all_persons,2016-02-01,2016-02-29,Q5a
Number of Persons with Unknown Age,1,all_persons,2016-02-01,2016-02-29,Q5a
Number of Leavers,179,all_persons,2016-02-01,2016-02-29,Q5a
Number of Adult Leavers,127,all_persons,2016-02-01,2016-02-29,Q5a
Number of Adult and Head of Household Leavers,130,all_persons,2016-02-01,2016-02-29,Q5a
Number of Stayers,396,all_persons,2016-02-01,2016-02-29,Q5a
Number of Adult Stayers,308,all_persons,2016-02-01,2016-02-29,Q5a
Number of Veterans,19,all_persons,2016-02-01,2016-02-29,Q5a
Number of Chronically Homeless Persons,48,all_persons,2016-02-01,2016-02-29,Q5a
Number of Youth Under Age 25,28,all_persons,2016-02-01,2016-02-29,Q5a
Number of Parenting Youth Under Age 25 with Children,9,all_persons,2016-02-01,2016-02-29,Q5a
Number of Adult Heads of Household,363,all_persons,2016-02-01,2016-02-29,Q5a
Number of Child and Unknown-Age Heads of Household,3,all_persons,2016-02-01,2016-02-29,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,104,all_persons,2016-02-01,2016-02-29,Q5a
