income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,8,32,40,0.2,2,14,16,0.13,0,0,0,0.0,adults,2016-02-01,2016-02-29,Q19b
Supplemental Security Income (SSI),7,1,8,0.88,3,0,3,1.0,0,0,0,0.0,adults,2016-02-01,2016-02-29,Q19b
Social Security Disability Insurance (SSDI),4,1,5,0.8,1,0,1,1.0,0,0,0,0.0,adults,2016-02-01,2016-02-29,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2016-02-01,2016-02-29,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2016-02-01,2016-02-29,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2016-02-01,2016-02-29,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0.0,0,1,1,0.0,0,0,0,0.0,adults,2016-02-01,2016-02-29,Q19b
Retirement Income from Social Security,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2016-02-01,2016-02-29,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2016-02-01,2016-02-29,Q19b
Child Support,1,0,1,1.0,2,4,6,0.33,0,0,0,0.0,adults,2016-02-01,2016-02-29,Q19b
Other source,1,2,3,0.33,0,1,1,0.0,0,0,0,0.0,adults,2016-02-01,2016-02-29,Q19b
No Sources,15,24,39,0.38,0,5,5,0.0,0,0,0,0.0,adults,2016-02-01,2016-02-29,Q19b
Unduplicated Total Adults,35,57,92,NA,6,20,26,NA,0,0,0,NA,adults,2016-02-01,2016-02-29,Q19b
