veteran_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,18,all_persons,2018-11-01,2018-11-30,Q25a,without_children,18
Chronically Homeless Veteran,18,all_persons,2018-11-01,2018-11-30,Q25a,with_children_and_adults,0
Chronically Homeless Veteran,18,all_persons,2018-11-01,2018-11-30,Q25a,unknown_household_type,0
Non-Chronically Homeless Veteran,12,all_persons,2018-11-01,2018-11-30,Q25a,without_children,9
Non-Chronically Homeless Veteran,12,all_persons,2018-11-01,2018-11-30,Q25a,with_children_and_adults,3
Non-Chronically Homeless Veteran,12,all_persons,2018-11-01,2018-11-30,Q25a,unknown_household_type,0
Not a Veteran,417,all_persons,2018-11-01,2018-11-30,Q25a,without_children,290
Not a Veteran,417,all_persons,2018-11-01,2018-11-30,Q25a,with_children_and_adults,127
Not a Veteran,417,all_persons,2018-11-01,2018-11-30,Q25a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2018-11-01,2018-11-30,Q25a,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2018-11-01,2018-11-30,Q25a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2018-11-01,2018-11-30,Q25a,unknown_household_type,0
Data Not Collected,2,all_persons,2018-11-01,2018-11-30,Q25a,without_children,2
Data Not Collected,2,all_persons,2018-11-01,2018-11-30,Q25a,with_children_and_adults,0
Data Not Collected,2,all_persons,2018-11-01,2018-11-30,Q25a,unknown_household_type,0
