number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_start,103
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_annual_assessment_stayers,5
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_exit_leavers,30
Adults with Only Other Income,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_start,117
Adults with Only Other Income,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_annual_assessment_stayers,33
Adults with Only Other Income,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_exit_leavers,11
Adults with Both Earned and Other Income,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_start,18
Adults with Both Earned and Other Income,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_annual_assessment_stayers,3
Adults with Both Earned and Other Income,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_exit_leavers,5
Adults with No Income,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_start,206
Adults with No Income,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_annual_assessment_stayers,11
Adults with No Income,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_exit_leavers,39
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_start,1
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_start,4
Adults with Missing Income Information,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_annual_assessment_stayers,257
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_annual_assessment_stayers,55
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_start,449
Total Adults,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_annual_assessment_stayers,364
Total Adults,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_exit_leavers,85
1 or More Source of Income,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_start,255
1 or More Source of Income,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_annual_assessment_stayers,45
1 or More Source of Income,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_exit_leavers,49
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_annual_assessment_stayers,52
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-11-01,2018-11-30,Q18,number_of_adults_at_exit_leavers,0
