report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,664,all_persons,2018-11-01,2018-11-30,Q5a
Number of Adults (age 18 or over),449,all_persons,2018-11-01,2018-11-30,Q5a
Number of Children (under age 18),214,all_persons,2018-11-01,2018-11-30,Q5a
Number of Persons with Unknown Age,1,all_persons,2018-11-01,2018-11-30,Q5a
Number of Leavers,126,all_persons,2018-11-01,2018-11-30,Q5a
Number of Adult Leavers,85,all_persons,2018-11-01,2018-11-30,Q5a
Number of Adult and Head of Household Leavers,85,all_persons,2018-11-01,2018-11-30,Q5a
Number of Stayers,538,all_persons,2018-11-01,2018-11-30,Q5a
Number of Adult Stayers,364,all_persons,2018-11-01,2018-11-30,Q5a
Number of Veterans,30,all_persons,2018-11-01,2018-11-30,Q5a
Number of Chronically Homeless Persons,95,all_persons,2018-11-01,2018-11-30,Q5a
Number of Youth Under Age 25,31,all_persons,2018-11-01,2018-11-30,Q5a
Number of Parenting Youth Under Age 25 with Children,9,all_persons,2018-11-01,2018-11-30,Q5a
Number of Adult Heads of Household,373,all_persons,2018-11-01,2018-11-30,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2018-11-01,2018-11-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,107,all_persons,2018-11-01,2018-11-30,Q5a
