ch_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,81,all_persons,2018-04-01,2018-04-30,Q26b,without_children,67
Chronically Homeless ,81,all_persons,2018-04-01,2018-04-30,Q26b,with_children_and_adults,14
Chronically Homeless ,81,all_persons,2018-04-01,2018-04-30,Q26b,with_only_children,0
Chronically Homeless ,81,all_persons,2018-04-01,2018-04-30,Q26b,unknown_household_type,0
Not Chronically Homeless,459,all_persons,2018-04-01,2018-04-30,Q26b,without_children,240
Not Chronically Homeless,459,all_persons,2018-04-01,2018-04-30,Q26b,with_children_and_adults,206
Not Chronically Homeless,459,all_persons,2018-04-01,2018-04-30,Q26b,with_only_children,12
Not Chronically Homeless,459,all_persons,2018-04-01,2018-04-30,Q26b,unknown_household_type,1
Client Doesn't Know/Client Refused,2,all_persons,2018-04-01,2018-04-30,Q26b,without_children,2
Client Doesn't Know/Client Refused,2,all_persons,2018-04-01,2018-04-30,Q26b,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_persons,2018-04-01,2018-04-30,Q26b,with_only_children,0
Client Doesn't Know/Client Refused,2,all_persons,2018-04-01,2018-04-30,Q26b,unknown_household_type,0
Data Not Collected,8,all_persons,2018-04-01,2018-04-30,Q26b,without_children,6
Data Not Collected,8,all_persons,2018-04-01,2018-04-30,Q26b,with_children_and_adults,0
Data Not Collected,8,all_persons,2018-04-01,2018-04-30,Q26b,with_only_children,0
Data Not Collected,8,all_persons,2018-04-01,2018-04-30,Q26b,unknown_household_type,2
