report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,550,all_persons,2018-04-01,2018-04-30,Q5a
Number of Adults (age 18 or over),403,all_persons,2018-04-01,2018-04-30,Q5a
Number of Children (under age 18),145,all_persons,2018-04-01,2018-04-30,Q5a
Number of Persons with Unknown Age,2,all_persons,2018-04-01,2018-04-30,Q5a
Number of Leavers,102,all_persons,2018-04-01,2018-04-30,Q5a
Number of Adult Leavers,89,all_persons,2018-04-01,2018-04-30,Q5a
Number of Adult and Head of Household Leavers,89,all_persons,2018-04-01,2018-04-30,Q5a
Number of Stayers,448,all_persons,2018-04-01,2018-04-30,Q5a
Number of Adult Stayers,314,all_persons,2018-04-01,2018-04-30,Q5a
Number of Veterans,31,all_persons,2018-04-01,2018-04-30,Q5a
Number of Chronically Homeless Persons,81,all_persons,2018-04-01,2018-04-30,Q5a
Number of Youth Under Age 25,21,all_persons,2018-04-01,2018-04-30,Q5a
Number of Parenting Youth Under Age 25 with Children,3,all_persons,2018-04-01,2018-04-30,Q5a
Number of Adult Heads of Household,341,all_persons,2018-04-01,2018-04-30,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2018-04-01,2018-04-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,113,all_persons,2018-04-01,2018-04-30,Q5a
