, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",143,1,29
"""Unemployment Insurance""",3,1,0
"""Supplemental Security Income (SSI)""",70,14,11
"""Social Security Disability Insurance (SSDI)""",51,9,8
"""VA Service - Connected Disability Compensation""",6,0,1
"""VA Non-Service Connected Disability Pension""",2,0,1
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",10,0,3
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",7,0,3
"""Pension or retirement income from a former job""",2,0,1
"""Child Support""",18,0,5
"""Alimony and other spousal support""",0,0,0
"""Other Source""",8,0,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,28,0
