"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",119,1,21
"""Adults with Only Other Income""",122,20,19
"""Adults with Both Earned and Other Income""",23,0,8
"""Adults with No Income""",172,7,43
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",8,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,244,0
"""Number of Adult Stayers without Required Annual Assessment""",0,81,0
"""Total Adults""",445,353,92
"""1 or More Source of Income""",280,24,52
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,28,0
