"""Total Number of Persons Served""",665
"""Number of Adults (age 18 or over)""",445
"""Number of Children (under age 18)""",218
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",156
"""Number of Adult Leavers""",92
"""Number of Adult and Head of Household Leavers""",92
"""Number of Stayers""",509
"""Number of Adult Stayers""",353
"""Number of Veterans""",26
"""Number of Chronically Homeless Persons""",53
"""Number of Youth Under Age 25""",23
"""Number of Parenting Youth Under Age 25 with Children""",9
"""Number of Adult Heads of Household""",354
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",109
