, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",47,28,19,0,0
"""8 to 14 days""",0,0,0,0,0
"""15 to 21 days""",9,2,7,0,0
"""22 to 30 days""",7,0,7,0,0
"""31 to 60 days""",31,7,24,0,0
"""61 to 180 days""",49,16,33,0,0
"""181 to 365 days""",18,13,5,0,0
"""366-730 days (1-2 years)""",25,21,4,0,0
"""731 days or more""",23,23,0,0,0
"""Total (persons moved into housing)""",209,110,99,0,0
"""Not yet moved into housing""",33,4,29,0,0
"""Data not collected""",38,29,9,0,0
"""Total persons""",280,143,137,0,0
