, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",2,9,11,0.18,2,17,19,0.11,0,0,0,0.0
"""Supplemental Security Income (SSI)""",7,1,8,0.88,2,1,3,0.67,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",4,1,5,0.8,2,1,3,0.67,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,1,2,3,0.33,0,0,0,0.0
"""Retirement Income from Social Security""",0,3,3,0.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,1,4,5,0.2,0,0,0,0.0
"""Other source""",1,0,1,1.0,0,1,1,0.0,0,0,0,0.0
"""No Sources""",3,14,17,0.18,3,11,14,0.21,0,0,0,0.0
"""Unduplicated Total Adults""",13,27,40,,8,32,40,,0,0,0,
