, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",0,0,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",72,34,38,0,0
"""Rental by client, with VASH subsidy""",2,2,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",12,2,10,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Staying or living with family, permanent tenure""",2,2,0,0,0
"""Staying or living with friends, permanent tenure""",3,1,2,0,0
"""Rental by client, with RRH or equivalent subsidy""",14,5,9,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",105,46,59,0,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",3,2,1,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Staying or living with family, temporary tenure""",11,7,4,0,0
"""Staying or living with friends, temporary tenure""",4,4,0,0,0
"""Place not meant for human habitation""",6,6,0,0,0
"""Safe Haven""",1,1,0,0,0
"""Hotel or motel, paid by client""",6,6,0,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",31,26,5,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",0,0,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",1,1,0,0,0
"""Jail, prison, or juvenile detention facility""",1,1,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Subtotal""",2,2,0,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Deceased""",0,0,0,0,0
"""Other""",17,10,7,0,0
"""Client Doesn't Know/Client Refused""",4,4,0,0,0
"""Data Not Collected (no exit interview completed)""",63,53,10,0,0
"""Subtotal""",84,67,17,0,0
"""Total""",222,141,81,0,0
"""Total persons exiting to positive housing destinations""",42,16,26,0,0
"""Total persons whose destinations excluded them from the calculation""",0,0,0,0,0
"""Percentage""",0.19,0.11,0.32,0.0,0.0
