, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",5,19,24,0.21,1,11,12,0.08,0,0,0,0.0
"""Supplemental Security Income (SSI)""",18,2,20,0.9,4,3,7,0.57,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",19,1,20,0.95,2,1,3,0.67,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",1,1,2,0.5,0,1,1,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",1,1,2,0.5,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",2,1,3,0.67,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,1,1,0.0,0,1,1,0.0,0,0,0,0.0
"""Other source""",2,3,5,0.4,1,1,2,0.5,0,0,0,0.0
"""No Sources""",16,40,56,0.29,0,7,7,0.0,0,0,0,0.0
"""Unduplicated Total Adults""",54,63,117,,6,21,27,,0,0,0,
