, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",32,23,9,0,0
"""8 to 14 days""",5,3,2,0,0
"""15 to 21 days""",6,4,2,0,0
"""22 to 30 days""",11,5,6,0,0
"""31 to 60 days""",27,12,15,0,0
"""61 to 180 days""",66,28,38,0,0
"""181 to 365 days""",38,25,13,0,0
"""366-730 days (1-2 years)""",44,38,6,0,0
"""731 days or more""",54,45,9,0,0
"""Total (persons moved into housing)""",283,183,100,0,0
"""Not yet moved into housing""",33,10,23,0,0
"""Data not collected""",26,17,9,0,0
"""Total persons""",342,210,132,0,0
