, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",189,8,65
"""$1 -  $150""",6,0,2
"""$151 - $250""",11,0,3
"""$251 - $500""",17,1,3
"""$501 - $1000""",95,15,34
"""$1001 - $1500""",59,14,15
"""$1501 - $2000""",49,7,13
"""$2001+""",35,5,10
"""Client Doesn't Know/Client Refused""",2,0,2
"""Data Not Collected""",73,3,26
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,255,0
"""Number of Adult Stayers without Required Annual Assessment""",0,55,0
"""Total Adults""",536,363,173
