, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",13,7,0
"""Unemployment Insurance""",0,0,0
"""Supplemental Security Income (SSI)""",24,15,5
"""Social Security Disability Insurance (SSDI)""",14,7,1
"""VA Service - Connected Disability Compensation""",4,4,0
"""VA Non-Service Connected Disability Pension""",3,2,0
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",3,1,0
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",3,2,1
"""Pension or retirement income from a former job""",1,0,0
"""Child Support""",0,0,0
"""Alimony and other spousal support""",0,0,0
"""Other Source""",1,0,1
"""Chronically Homeless Persons with Income Information at Start and Annual Assessment/Exit""",0,39,0
