"""Total Number of Persons Served""",762
"""Number of Adults (age 18 or over)""",536
"""Number of Children (under age 18)""",225
"""Number of Persons with Unknown Age""",1
"""Number of Leavers""",222
"""Number of Adult Leavers""",173
"""Number of Adult and Head of Household Leavers""",173
"""Number of Stayers""",540
"""Number of Adult Stayers""",363
"""Number of Veterans""",40
"""Number of Chronically Homeless Persons""",92
"""Number of Youth Under Age 25""",34
"""Number of Parenting Youth Under Age 25 with Children""",3
"""Number of Adult Heads of Household""",460
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",108
