"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",107,5,28
"""Adults with Only Other Income""",140,34,45
"""Adults with Both Earned and Other Income""",25,3,7
"""Adults with No Income""",258,11,91
"""Adults with Client Doesn't Know/Client Refused Income Information""",2,0,2
"""Adults with Missing Income Information""",4,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,255,0
"""Number of Adult Stayers without Required Annual Assessment""",0,55,0
"""Total Adults""",536,363,173
"""1 or More Source of Income""",297,45,86
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,53,0
