number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_start,110
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_annual_assessment_stayers,1
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_exit_leavers,34
Adults with Only Other Income,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_start,96
Adults with Only Other Income,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_annual_assessment_stayers,18
Adults with Only Other Income,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_exit_leavers,13
Adults with Both Earned and Other Income,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_start,27
Adults with Both Earned and Other Income,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_annual_assessment_stayers,1
Adults with Both Earned and Other Income,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_exit_leavers,6
Adults with No Income,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_start,165
Adults with No Income,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_annual_assessment_stayers,2
Adults with No Income,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_exit_leavers,34
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_start,7
Adults with Missing Income Information,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_annual_assessment_stayers,221
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_annual_assessment_stayers,75
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_start,405
Total Adults,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_annual_assessment_stayers,318
Total Adults,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_exit_leavers,87
1 or More Source of Income,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_start,256
1 or More Source of Income,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_annual_assessment_stayers,20
1 or More Source of Income,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_exit_leavers,59
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_annual_assessment_stayers,22
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-09-01,2015-09-30,Q18,number_of_adults_at_exit_leavers,0
