conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,103,19,7,all_persons,2015-09-01,2015-09-30,Q13a1,without_children,77
Mental Health Disorder,103,19,7,all_persons,2015-09-01,2015-09-30,Q13a1,with_only_children,0
Mental Health Disorder,103,19,7,all_persons,2015-09-01,2015-09-30,Q13a1,unknown_household_type,0
Alcohol Use Disorder,14,1,0,all_persons,2015-09-01,2015-09-30,Q13a1,without_children,13
Alcohol Use Disorder,14,1,0,all_persons,2015-09-01,2015-09-30,Q13a1,with_only_children,0
Alcohol Use Disorder,14,1,0,all_persons,2015-09-01,2015-09-30,Q13a1,unknown_household_type,0
Drug Use Disorder,4,2,0,all_persons,2015-09-01,2015-09-30,Q13a1,without_children,2
Drug Use Disorder,4,2,0,all_persons,2015-09-01,2015-09-30,Q13a1,with_only_children,0
Drug Use Disorder,4,2,0,all_persons,2015-09-01,2015-09-30,Q13a1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,17,2,0,all_persons,2015-09-01,2015-09-30,Q13a1,without_children,15
Both Alcohol and Drug Use Disorders,17,2,0,all_persons,2015-09-01,2015-09-30,Q13a1,with_only_children,0
Both Alcohol and Drug Use Disorders,17,2,0,all_persons,2015-09-01,2015-09-30,Q13a1,unknown_household_type,0
Chronic Health Condition,49,10,4,all_persons,2015-09-01,2015-09-30,Q13a1,without_children,35
Chronic Health Condition,49,10,4,all_persons,2015-09-01,2015-09-30,Q13a1,with_only_children,0
Chronic Health Condition,49,10,4,all_persons,2015-09-01,2015-09-30,Q13a1,unknown_household_type,0
HIV/AIDS,84,3,0,all_persons,2015-09-01,2015-09-30,Q13a1,without_children,81
HIV/AIDS,84,3,0,all_persons,2015-09-01,2015-09-30,Q13a1,with_only_children,0
HIV/AIDS,84,3,0,all_persons,2015-09-01,2015-09-30,Q13a1,unknown_household_type,0
Development Disability,26,9,11,all_persons,2015-09-01,2015-09-30,Q13a1,without_children,6
Development Disability,26,9,11,all_persons,2015-09-01,2015-09-30,Q13a1,with_only_children,0
Development Disability,26,9,11,all_persons,2015-09-01,2015-09-30,Q13a1,unknown_household_type,0
Physical Disability,59,13,6,all_persons,2015-09-01,2015-09-30,Q13a1,without_children,40
Physical Disability,59,13,6,all_persons,2015-09-01,2015-09-30,Q13a1,with_only_children,0
Physical Disability,59,13,6,all_persons,2015-09-01,2015-09-30,Q13a1,unknown_household_type,0
