dv_history,total,population,start_date,end_date,question,household_type,count
Yes,52,all_persons,2015-09-01,2015-09-30,Q14a,without_children,16
Yes,52,all_persons,2015-09-01,2015-09-30,Q14a,with_children_and_adults,36
Yes,52,all_persons,2015-09-01,2015-09-30,Q14a,with_only_children,0
Yes,52,all_persons,2015-09-01,2015-09-30,Q14a,unknown_household_type,0
No,335,all_persons,2015-09-01,2015-09-30,Q14a,without_children,221
No,335,all_persons,2015-09-01,2015-09-30,Q14a,with_children_and_adults,114
No,335,all_persons,2015-09-01,2015-09-30,Q14a,with_only_children,0
No,335,all_persons,2015-09-01,2015-09-30,Q14a,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2015-09-01,2015-09-30,Q14a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2015-09-01,2015-09-30,Q14a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2015-09-01,2015-09-30,Q14a,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2015-09-01,2015-09-30,Q14a,unknown_household_type,0
Data Not Collected,18,all_persons,2015-09-01,2015-09-30,Q14a,without_children,17
Data Not Collected,18,all_persons,2015-09-01,2015-09-30,Q14a,with_children_and_adults,0
Data Not Collected,18,all_persons,2015-09-01,2015-09-30,Q14a,with_only_children,0
Data Not Collected,18,all_persons,2015-09-01,2015-09-30,Q14a,unknown_household_type,1
