income_range,population,start_date,end_date,question,status,count
No Income,adults,2015-09-01,2015-09-30,Q16,income_at_start,133
No Income,adults,2015-09-01,2015-09-30,Q16,income_at_latest_annual_assessment_for_stayers,2
No Income,adults,2015-09-01,2015-09-30,Q16,income_at_exit_for_leavers,30
$1 -  $150,adults,2015-09-01,2015-09-30,Q16,income_at_start,3
$1 -  $150,adults,2015-09-01,2015-09-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$1 -  $150,adults,2015-09-01,2015-09-30,Q16,income_at_exit_for_leavers,1
$151 - $250,adults,2015-09-01,2015-09-30,Q16,income_at_start,5
$151 - $250,adults,2015-09-01,2015-09-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$151 - $250,adults,2015-09-01,2015-09-30,Q16,income_at_exit_for_leavers,1
$251 - $500,adults,2015-09-01,2015-09-30,Q16,income_at_start,18
$251 - $500,adults,2015-09-01,2015-09-30,Q16,income_at_latest_annual_assessment_for_stayers,2
$251 - $500,adults,2015-09-01,2015-09-30,Q16,income_at_exit_for_leavers,3
$501 - $1000,adults,2015-09-01,2015-09-30,Q16,income_at_start,78
$501 - $1000,adults,2015-09-01,2015-09-30,Q16,income_at_latest_annual_assessment_for_stayers,11
$501 - $1000,adults,2015-09-01,2015-09-30,Q16,income_at_exit_for_leavers,14
$1001 - $1500,adults,2015-09-01,2015-09-30,Q16,income_at_start,65
$1001 - $1500,adults,2015-09-01,2015-09-30,Q16,income_at_latest_annual_assessment_for_stayers,5
$1001 - $1500,adults,2015-09-01,2015-09-30,Q16,income_at_exit_for_leavers,15
$1501 - $2000,adults,2015-09-01,2015-09-30,Q16,income_at_start,26
$1501 - $2000,adults,2015-09-01,2015-09-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$1501 - $2000,adults,2015-09-01,2015-09-30,Q16,income_at_exit_for_leavers,9
$2001+,adults,2015-09-01,2015-09-30,Q16,income_at_start,38
$2001+,adults,2015-09-01,2015-09-30,Q16,income_at_latest_annual_assessment_for_stayers,2
$2001+,adults,2015-09-01,2015-09-30,Q16,income_at_exit_for_leavers,10
Client Doesn't Know/Client Refused,adults,2015-09-01,2015-09-30,Q16,income_at_start,0
Client Doesn't Know/Client Refused,adults,2015-09-01,2015-09-30,Q16,income_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,adults,2015-09-01,2015-09-30,Q16,income_at_exit_for_leavers,0
Data Not Collected,adults,2015-09-01,2015-09-30,Q16,income_at_start,39
Data Not Collected,adults,2015-09-01,2015-09-30,Q16,income_at_latest_annual_assessment_for_stayers,0
Data Not Collected,adults,2015-09-01,2015-09-30,Q16,income_at_exit_for_leavers,4
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2015-09-01,2015-09-30,Q16,income_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2015-09-01,2015-09-30,Q16,income_at_latest_annual_assessment_for_stayers,221
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2015-09-01,2015-09-30,Q16,income_at_exit_for_leavers,0
Number of Adult Stayers without Required Annual Assessment,adults,2015-09-01,2015-09-30,Q16,income_at_start,0
Number of Adult Stayers without Required Annual Assessment,adults,2015-09-01,2015-09-30,Q16,income_at_latest_annual_assessment_for_stayers,75
Number of Adult Stayers without Required Annual Assessment,adults,2015-09-01,2015-09-30,Q16,income_at_exit_for_leavers,0
Total Adults,adults,2015-09-01,2015-09-30,Q16,income_at_start,405
Total Adults,adults,2015-09-01,2015-09-30,Q16,income_at_latest_annual_assessment_for_stayers,318
Total Adults,adults,2015-09-01,2015-09-30,Q16,income_at_exit_for_leavers,87
