income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,2,12,14,0.14,2,23,25,0.08,0,0,0,0.0,adults,2015-09-01,2015-09-30,Q19b
Supplemental Security Income (SSI),4,1,5,0.8,0,1,1,0.0,0,0,0,0.0,adults,2015-09-01,2015-09-30,Q19b
Social Security Disability Insurance (SSDI),7,1,8,0.88,2,0,2,1.0,0,0,0,0.0,adults,2015-09-01,2015-09-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-09-01,2015-09-30,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-09-01,2015-09-30,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-09-01,2015-09-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0.0,1,1,2,0.5,0,0,0,0.0,adults,2015-09-01,2015-09-30,Q19b
Retirement Income from Social Security,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-09-01,2015-09-30,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-09-01,2015-09-30,Q19b
Child Support,1,0,1,1.0,0,2,2,0.0,0,0,0,0.0,adults,2015-09-01,2015-09-30,Q19b
Other source,0,1,1,0.0,0,2,2,0.0,0,0,0,0.0,adults,2015-09-01,2015-09-30,Q19b
No Sources,2,11,13,0.15,4,12,16,0.25,0,0,0,0.0,adults,2015-09-01,2015-09-30,Q19b
Unduplicated Total Adults,13,24,37,NA,8,36,44,NA,0,0,0,NA,adults,2015-09-01,2015-09-30,Q19b
