ch_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,23,all_households,2015-09-01,2015-09-30,Q26a,without_children,21
Chronically Homeless ,23,all_households,2015-09-01,2015-09-30,Q26a,with_children_and_adults,2
Chronically Homeless ,23,all_households,2015-09-01,2015-09-30,Q26a,with_only_children,0
Chronically Homeless ,23,all_households,2015-09-01,2015-09-30,Q26a,unknown_household_type,0
Not Chronically Homeless,215,all_households,2015-09-01,2015-09-30,Q26a,without_children,138
Not Chronically Homeless,215,all_households,2015-09-01,2015-09-30,Q26a,with_children_and_adults,77
Not Chronically Homeless,215,all_households,2015-09-01,2015-09-30,Q26a,with_only_children,0
Not Chronically Homeless,215,all_households,2015-09-01,2015-09-30,Q26a,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_households,2015-09-01,2015-09-30,Q26a,without_children,1
Client Doesn't Know/Client Refused,1,all_households,2015-09-01,2015-09-30,Q26a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_households,2015-09-01,2015-09-30,Q26a,with_only_children,0
Client Doesn't Know/Client Refused,1,all_households,2015-09-01,2015-09-30,Q26a,unknown_household_type,0
Data Not Collected,79,all_households,2015-09-01,2015-09-30,Q26a,without_children,58
Data Not Collected,79,all_households,2015-09-01,2015-09-30,Q26a,with_children_and_adults,21
Data Not Collected,79,all_households,2015-09-01,2015-09-30,Q26a,with_only_children,0
Data Not Collected,79,all_households,2015-09-01,2015-09-30,Q26a,unknown_household_type,0
