report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,608,all_persons,2015-09-01,2015-09-30,Q5a
Number of Adults (age 18 or over),405,all_persons,2015-09-01,2015-09-30,Q5a
Number of Children (under age 18),202,all_persons,2015-09-01,2015-09-30,Q5a
Number of Persons with Unknown Age,1,all_persons,2015-09-01,2015-09-30,Q5a
Number of Leavers,152,all_persons,2015-09-01,2015-09-30,Q5a
Number of Adult Leavers,87,all_persons,2015-09-01,2015-09-30,Q5a
Number of Adult and Head of Household Leavers,87,all_persons,2015-09-01,2015-09-30,Q5a
Number of Stayers,456,all_persons,2015-09-01,2015-09-30,Q5a
Number of Adult Stayers,318,all_persons,2015-09-01,2015-09-30,Q5a
Number of Veterans,14,all_persons,2015-09-01,2015-09-30,Q5a
Number of Chronically Homeless Persons,27,all_persons,2015-09-01,2015-09-30,Q5a
Number of Youth Under Age 25,23,all_persons,2015-09-01,2015-09-30,Q5a
Number of Parenting Youth Under Age 25 with Children,9,all_persons,2015-09-01,2015-09-30,Q5a
Number of Adult Heads of Household,317,all_persons,2015-09-01,2015-09-30,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2015-09-01,2015-09-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,97,all_persons,2015-09-01,2015-09-30,Q5a
