, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",143,120,23,0,0
"""Transitional housing for homeless persons (including homeless youth)""",1,1,0,0,0
"""Place not meant for human habitation""",204,189,15,0,0
"""Safe Haven""",3,2,1,0,0
"""Host Home""",1,1,0,0,0
"""Subtotal""",352,313,39,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",6,6,0,0,0
"""Substance abuse treatment facility or detox center""",6,6,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",21,21,0,0,0
"""Jail, prison or juvenile detention facility""",23,23,0,0,0
"""Foster care home or foster care group home""",1,1,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",2,2,0,0,0
"""Subtotal""",59,59,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Owned by client, no ongoing housing subsidy""",8,7,1,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",170,125,42,0,3
"""Rental by client, with VASH housing subsidy""",1,1,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",1,0,1,0,0
"""Rental by client, with other housing subsidy (including RRH)""",8,7,1,0,0
"""Hotel or motel paid for without emergency shelter voucher""",81,64,16,0,1
"""Staying or living in a friend''s room, apartment or house""",73,61,12,0,0
"""Staying or living in a family member''s room, apartment or house""",87,57,29,1,0
"""Client Doesn''t Know/Client Refused""",2,2,0,0,0
"""Data not collected""",23,16,7,0,0
"""Subtotal""",454,340,109,1,4
"""Total""",865,712,148,1,4
