, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",183,7,22
"""Unemployment Insurance""",6,0,1
"""Supplemental Security Income (SSI)""",114,22,17
"""Social Security Disability Insurance (SSDI)""",78,15,9
"""VA Service - Connected Disability Compensation""",5,3,0
"""VA Non-Service Connected Disability Pension""",3,4,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",1,0,0
"""Temporary Assistance for Needy Families (TANF)""",13,1,3
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",18,3,3
"""Pension or retirement income from a former job""",5,1,0
"""Child Support""",11,0,2
"""Alimony and other spousal support""",0,0,0
"""Other Source""",5,1,0
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,61,0
