, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",9,11,20,0.45,2,2,4,0.5,0,0,0,0.0
"""Supplemental Security Income (SSI)""",13,1,14,0.93,1,1,2,0.5,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",10,0,10,1.0,1,0,1,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",2,0,2,1.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",1,0,1,1.0,1,1,2,0.5,0,0,0,0.0
"""Retirement Income from Social Security""",1,3,4,0.25,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,1,1,2,0.5,0,0,0,0.0
"""Other source""",1,3,4,0.25,0,0,0,0.0,0,0,0,0.0
"""No Sources""",14,25,39,0.36,2,4,6,0.33,1,0,1,1.0
"""Unduplicated Total Adults""",43,42,85,,6,7,13,,1,0,1,
