, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",8,6,2,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Place not meant for human habitation""",6,6,0,0,0
"""Safe Haven""",0,0,0,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",14,12,2,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",0,0,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",2,2,0,0,0
"""Jail, prison or juvenile detention facility""",1,1,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Subtotal""",4,4,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Owned by client, no ongoing housing subsidy""",0,0,0,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",10,4,6,0,0
"""Rental by client, with VASH housing subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",0,0,0,0,0
"""Hotel or motel paid for without emergency shelter voucher""",10,7,3,0,0
"""Staying or living in a friend''s room, apartment or house""",7,2,3,2,0
"""Staying or living in a family member''s room, apartment or house""",16,9,3,4,0
"""Client Doesn''t Know/Client Refused""",0,0,0,0,0
"""Data not collected""",5,1,2,2,0
"""Subtotal""",48,23,17,8,0
"""Total""",66,39,19,8,0
