"""Total Number of Persons Served""",1121
"""Number of Adults (age 18 or over)""",864
"""Number of Children (under age 18)""",247
"""Number of Persons with Unknown Age""",10
"""Number of Leavers""",174
"""Number of Adult Leavers""",142
"""Number of Adult and Head of Household Leavers""",143
"""Number of Stayers""",947
"""Number of Adult Stayers""",722
"""Number of Veterans""",55
"""Number of Chronically Homeless Persons""",173
"""Number of Youth Under Age 25""",66
"""Number of Parenting Youth Under Age 25 with Children""",11
"""Number of Adult Heads of Household""",714
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",354
